ID;SMILES;Screening;Enzyme activity (%);pIC50;pEC50;pCC50;Crystal structure;;;;
LabMol-424;C=CCn1c(SCC(=O)Nc2cc([N+](=O)[O-])ccc2C)nnc1-c1ccccc1Cl;VS;99;NA;NA;NA;;;;;
LabMol-425;C=CCn1c(SCC(=O)Nc2cc(C)c(C)cc2Br)nnc1-c1ccccc1Cl;VS;103;NA;NA;NA;;;;;
LabMol-426;C=CCn1c(SCC(=O)Nc2ccc(F)c(F)c2F)nnc1-c1ccccc1O;VS;48;NA;NA;NA;;;;;
LabMol-427;C=CCn1c(SCC(=O)Nc2cccc(OC)c2)nnc1-c1ccccc1F;VS;55;NA;NA;NA;;;;;
LabMol-428;C=CCn1c(SCC(=O)Nc2ccc(Br)c(Cl)c2)nnc1-c1ccccc1F;VS;40;NA;NA;NA;;;;;
LabMol-429;C=CCn1c(SCC(=O)Nc2ccc(Cl)cc2C)nnc1-c1ccccc1F;VS;95;NA;NA;NA;;;;;
LabMol-430;C=CCn1c(SCC(=O)Nc2ccc(OCC)cc2)nnc1-c1ccccc1F;VS;98;NA;NA;NA;;;;;
LabMol-432;C=CCn1c(SCC(=O)Nc2cccc(C(F)(F)F)c2)nnc1-c1ccccc1F;VS;75;NA;NA;NA;;;;;
LabMol-434;CCn1c(SCC(=O)Nc2ccc(Br)cc2C(C)C)nnc1-c1ccccc1F;VS;77;NA;NA;NA;;;;;
LabMol-435;C=CCn1c(SCC(=O)Nc2c(F)cc(F)cc2Br)nnc1-c1ccccc1F;VS;98;NA;NA;NA;;;;;
LabMol-436;C=CCn1c(SCC(=O)Nc2ccc(Br)cc2C(C)C)nnc1-c1ccccc1F;VS;99;NA;NA;NA;;;;;
LabMol-437;COC(=O)c1cc(OC)c(OC)cc1NC(=O)c1ccc(-c2ccccc2F)o1;VS;98;NA;NA;NA;;;;;
LabMol-438;CCCCn1c(C)cn2c3c(=O)n(Cc4ccccc4F)c(=O)n(C)c3nc12;VS;97;NA;NA;NA;;;;;
LabMol-439;Cn1c(=O)c2c(ncn2CC(=O)Nc2ccc3oc(-c4ccccc4F)nc3c2)n(C)c1=O;VS;60;NA;NA;NA;;;;;
LabMol-440;COc1ccc(S(=O)(=O)Nc2c(F)cccc2F)cc1C(=O)NC(C)C;VS;95;NA;NA;NA;;;;;
LabMol-441;COc1cc(F)ccc1-c1ccc(=O)n(CC(=O)Nc2cccc(SC)c2)n1;VS;70;NA;NA;NA;;;;;
LabMol-442;CCC(CC)C(=O)N1CCc2c(cnc(C)c2CNC(=O)c2ccccc2F)C1;VS;60;NA;NA;NA;;;;;
LabMol-443;CCCN1CCN(C(=O)c2cc(NC(C)=O)c3c(c2)nc(-c2ccccc2F)n3CC)CC1;VS;99;NA;NA;NA;;;;;
LabMol-444;CCn1c(-c2ccccc2F)nc2cc(NC(C)=O)cc(C(=O)NC(C)C)c21;VS;99;NA;NA;NA;;;;;
LabMol-445;CSc1cccc(NC(=O)c2cc(NCc3ccccc3F)cc(S(=O)(=O)N3CCCC3)c2)c1;VS;63;NA;NA;NA;;;;;
QHM-0000936;CCN(Cc1ccncc1)C(=O)c1cnn(-c2nccc(-c3ccccc3F)n2)c1C(C)C;Enzymatic;30,4;NA;NA;NA;;;;;
QHM-0000938;CCCN1CCN(C(=O)c2cnn(-c3nccc(-c4ccccc4F)n3)c2C2CC2)CC1;Enzymatic;33;NA;NA;NA;;;;;
QHM-0001039;Cc1ccc(C(=O)[O-])c(N2CCc3onc(-c4ccccc4F)c3C2)[nH+]1;Enzymatic;47,2;NA;NA;NA;;;;;
QHM-0001042;CCCN1CCN(C(=O)c2cnn(-c3nccc(-c4ccccc4F)n3)c2C)CC1;Enzymatic;;4,522878745;ND;ND;;;;;
QHM-0001041;COCc1c(C(=O)N2CCN(C(C)C)CC2)cnn1-c1nccc(-c2ccccc2F)n1;Enzymatic;;4,698970004;ND;ND;;;;;
QHM-0001040;CC(C)Cc1cc(C(=O)N2CCc3[nH]nc(-c4ccccc4F)c3C2)n(C)n1;Enzymatic;;4,920818754;6,397940009;ND;;;;;
QHM-0000990;O=C1C2=CC=CC=C2N=C(NC2=CC3=C(OCCO3)C=C2)N1;Enzymatic;;4,602059991;ND;ND;;;;;
QHM-0001062;O=C1NC(NC2=CC=C(C3=CC=CC=C3)C=C2)=NC2=CC=CC=C12;Enzymatic;50,5;ND;6,823908741;4,453457337;;;;;
QHM-0001063;O=C1NC(NC2=CC(C3=CC=CC=C3)=CC=C2)=NC2=CC=CC=C12;Enzymatic;;6,229147988;ND;ND;;;;;
