ID;SMILES;Screening;Enzyme activity (%);pIC50;pEC50;pCC50;Crystal structure;;;;
E11;OCc1cnc(s1)N1CCOCC1;Crystallographic;ND;ND;ND;ND;;;;;
E12;Cn1c2ccc(N)cc2oc1=O;Crystallographic;ND;ND;ND;ND;;;;;
F1;COCn1c2ccccc2nn1;Crystallographic;ND;ND;ND;ND;;;;;
F2;CCOC(=O)c1c[nH]nc1C(F)(F)F;Crystallographic;ND;ND;ND;ND;;;;;
F3;COCCOCC(=O)Nc1cccc(F)c1;Crystallographic;ND;ND;ND;ND;Y;;;;
F4;Cc1cc(CNCCS(=O)(=O)C)ccc1Br;Crystallographic;ND;ND;ND;ND;;;;;
F5;NCCNc1ccccc1;Crystallographic;ND;ND;ND;ND;;;;;
F6;CC(C)(C)NC(=O)C1CCCCN1;Crystallographic;ND;ND;ND;ND;;;;;
F7;CC(C)(C)OC(=O)c1cc(ncc1)Cl;Crystallographic;ND;ND;ND;ND;;;;;
F8;CNCc1ccc(O)cc1;Crystallographic;ND;ND;ND;ND;;;;;
F9;Oc1ccc(cc1)c1ccccn1;Crystallographic;ND;ND;ND;ND;;;;;
F10;CC(N)c1ccc(OCC2CC2)c(F)c1;Crystallographic;ND;ND;ND;ND;;;;;
F11;FS(=O)(=O)c1ccc(cc1)CCN;Crystallographic;ND;ND;ND;ND;;;;;
F12;CC(C)NCc1ccc(nc1)N1CCCC1C;Crystallographic;ND;ND;ND;ND;;;;;
G1;COC(=O)c1ccc2nccnc2c1;Crystallographic;ND;ND;ND;ND;;;;;
G2;COC(=O)COc1cccc(CN)c1;Crystallographic;ND;ND;ND;ND;;;;;
G3;CCOc1cccc(c1)C(=N)N;Crystallographic;ND;ND;ND;ND;;;;;
G4;COc1ccc(NC(=O)C)cc1;Crystallographic;ND;ND;ND;ND;Y;;;;
G5;CC(C)NC(=O)Nc1ccccc1;Crystallographic;ND;ND;ND;ND;;;;;
G6;OC(=O)CNCc1cccc(F)c1;Crystallographic;ND;ND;ND;ND;;;;;
G7;Cn1cnnc1SCC(=O)O;Crystallographic;ND;ND;ND;ND;;;;;
G8;CCNC(=O)CSc1nnc(o1)C(C)C;Crystallographic;ND;ND;ND;ND;Y;;;;
G9;CC(=O)NC(CCc1ccccc1)C(=O)O;Crystallographic;ND;ND;ND;ND;Y;;;;
G10;Clc1nnnn1c1ccccc1;Crystallographic;ND;ND;ND;ND;;;;;
G11;CC(=O)Nc1cccc(CO)c1;Crystallographic;ND;ND;ND;ND;;;;;
G12;O=C(N/N=C/c1cccs1)C1CC1;Crystallographic;ND;ND;ND;ND;Y;;;;
H1;CCN(CC)CCOc1ccc(cc1)[N+](=O)[O-];Crystallographic;ND;ND;ND;ND;;;;;
H2;O=C(CCC1CCCC1)N1CCNCC1;Crystallographic;ND;ND;ND;ND;;;;;
H3;CC(N(C)C(=O)OCc1ccccc1)C(=O)O;Crystallographic;ND;ND;ND;ND;;;;;
H4;O=C(NCC#N)OCc1ccccc1;Crystallographic;ND;ND;ND;ND;;;;;
H5;Cc1cc(NCc2cccnc2)nc(N)n1;Crystallographic;ND;ND;ND;ND;;;;;
H6;CCOC(=O)/C=C/c1ccc(N)cc1;Crystallographic;ND;ND;ND;ND;;;;;
H7;Oc1ccc(NC(=O)Cn2cccn2)cc1;Crystallographic;ND;ND;ND;ND;Y;;;;
H8;CN(Cc1cnn(C)c1)C(=O)C1CCC=CC1;Crystallographic;ND;ND;ND;ND;Y;;;;
H9;FC(N1CN(F)C=N1)C(=O)c1ccccc1;Crystallographic;ND;ND;ND;ND;;;;;
H10;CC(NCCn1cccn1)c1ccc(F)cc1;Crystallographic;ND;ND;ND;ND;;;;;
H11;O=C(NCC1CCCO1)NC1CCCC1;Crystallographic;ND;ND;ND;ND;;;;;
H12;c1csc(c1)CCNC(=O)c1ccncc1;Crystallographic;ND;ND;ND;ND;;;;;
2A;FC1=CC=C(N=C(C2=CC=CC=C2)C=C3C(O)=O)C3=C1;VS - Target fishing;2;5,714442691;ND;ND;Y;;;;
2B;FC1=CC=C(N=C(C2=CC=C(C)C=C2)C=C3C(O)=O)C3=C1;VS - Target fishing;0,42;5,769551079;ND;ND;Y;;;;
2C;FC1=CC=C(N=C(C2=CC=CC=C2C)C=C3C(O)=O)C3=C1;VS - Target fishing;5,9;5,823908741;ND;ND;Y;;;;
2D;FC1=CC=C(N=C(C2=CC=C(C3=CC=CC=C3)C=C2)C=C4C(O)=O)C4=C1;VS - Target fishing;2;7,568636236;ND;ND;Y;;;;
2E;FC1=CC=C(N=C(C2=CC=C(C=CC=C3)C3=C2)C=C4C(O)=O)C4=C1;VS - Target fishing;1,3;6,337242168;ND;ND;Y;;;;
2F;FC1=CC=C(N=C(C2=CC=C(F)C=C2)C=C3C(O)=O)C3=C1;VS - Target fishing;1,2;6,036212173;ND;ND;Y;;;;
2H;FC1=CC=C(N=C(C2=CC=C(O)C=C2)C=C3C(O)=O)C3=C1;VS - Target fishing;4,4;5,050609993;ND;ND;;;;;
2I;FC1=CC=C(N=C(C2=CC=CC(O)=C2)C=C3C(O)=O)C3=C1;VS - Target fishing;8,62;4,769551079;ND;ND;;;;;
2J;FC1=CC=C(N=C(C2=CC=C(OC)C=C2)C=C3C(O)=O)C3=C1;VS - Target fishing;0,8;5,943095149;ND;ND;Y;;;;
2K;FC1=CC=C(N=C(C2=CC(OCO3)=C3C=C2)C=C4C(O)=O)C4=C1;VS - Target fishing;1,3;5,568636236;ND;ND;Y;;;;
Brequinar;Cc1c(nc2ccc(F)cc2c1C([O-])=O)-c3ccc(cc3)-c4ccccc4F;;;;;;;;;;
Teriflunomida;O=C(NC1=CC=C(C=C1)C(F)(F)F)/C(C#N)=C(C)\O;;;;;;;;;;
